Rk,Nation,Top Team Scorer
F,Italy,"Lorenzo Insigne, Ciro Immobile... - 2"
F,England,Harry Kane - 4
SF,Spain,Álvaro Morata - 3
SF,Denmark,Kasper Dolberg - 3
QF,Belgium,Romelu Lukaku - 4
QF,Czechia,Patrik Schick - 5
QF,Switzerland,"Xherdan Shaqiri, Haris Seferović - 3"
QF,Ukraine,"Andriy Yarmolenko, Roman Yaremchuk - 2"
R16,Netherlands,Georginio Wijnaldum - 3
R16,Sweden,Emil Forsberg - 4
R16,France,Karim Benzema - 4
R16,Austria,"Marko Arnautović, Stefan Lainer... - 1"
R16,Portugal,Cristiano Ronaldo - 5
R16,Croatia,Ivan Perišić - 2
R16,Germany,Kai Havertz - 2
R16,Wales,"Aaron Ramsey, Kieffer Moore... - 1"
GR,Finland,Joel Pohjanpalo - 1
GR,Russia,"Aleksei Miranchuk, Artem Dzyuba - 1"
GR,Slovakia,Milan Škriniar - 1
GR,Hungary,"Ádám Szalai, Attila Fiola... - 1"
GR,Poland,Robert Lewandowski - 3
GR,Scotland,Callum McGregor - 1
GR,Macedonia,"Goran Pandev, Ezgjan Alioski - 1"
GR,Türkiye,İrfan Kahveci - 1
