Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Quarter-finals,Thu,2008-06-19,20:45,Portugal pt,2–3,de Germany,39374.0,St. Jakob-Park,Peter Frojdfeldt,Match Report,
Quarter-finals,Fri,2008-06-20,20:45,Croatia hr,(1) 1–1 (3),tr Türkiye,51428.0,Ernst-Happel-Stadion,Roberto Rosetti,Match Report,Türkiye won on penalty kicks following extra time
Quarter-finals,Sat,2008-06-21,20:45,Netherlands nl,1–3,ru Russia,38374.0,St. Jakob-Park,Ľuboš Micheľ,Match Report,Required Extra Time
Quarter-finals,Sun,2008-06-22,20:45,Spain es,(4) 0–0 (2),it Italy,51178.0,Ernst-Happel-Stadion,Herbert Fandel,Match Report,Spain won on penalty kicks following extra time
Semi-finals,Wed,2008-06-25,20:45,Germany de,3–2,tr Türkiye,39374.0,St. Jakob-Park,Massimo Busacca,Match Report,
Semi-finals,Thu,2008-06-26,20:45,Russia ru,0–3,es Spain,51428.0,Ernst-Happel-Stadion,Frank De Bleeckere,Match Report,
Final,Sun,2008-06-29,20:45,Germany de,0–1,es Spain,51428.0,Ernst-Happel-Stadion,Roberto Rosetti,Match Report,
