Rk,Nation,Top Team Scorer
W,Spain,David Villa - 4
F,Germany,Lukas Podolski - 3
SF,Russia,Roman Pavlyuchenko - 3
SF,Türkiye,Semih Şentürk - 3
QF,Croatia,Ivan Klasnić - 2
QF,Netherlands,"Ruud van Nistelrooy, Robin van Persie... - 2"
QF,Portugal,"Deco, Cristiano Ronaldo... - 1"
QF,Italy,"Christian Panucci, Daniele De Rossi... - 1"
GR,Switzerland,Hakan Yakin - 3
GR,Sweden,Zlatan Ibrahimović - 2
GR,Czechia,"Jaroslav Plašil, Jan Koller... - 1"
GR,Romania,Adrian Mutu - 1
GR,Austria,Ivica Vastić - 1
GR,Poland,Roger Guerreiro - 1
GR,France,Thierry Henry - 1
GR,Greece,Angelos Charisteas - 1
