Rk,Nation,Top Team Scorer
W,Portugal,"Cristiano Ronaldo, Nani - 3"
F,France,Antoine Griezmann - 6
SF,Wales,Gareth Bale - 3
SF,Germany,Mario Gómez - 2
QF,Italy,Graziano Pellè - 2
QF,Belgium,"Romelu Lukaku, Radja Nainggolan - 2"
QF,Poland,Jakub Błaszczykowski - 2
QF,Iceland,"Birkir Bjarnason, Kolbeinn Sigþórsson - 2"
R16,Croatia,Ivan Perišić - 2
R16,Spain,Álvaro Morata - 3
R16,Switzerland,"Xherdan Shaqiri, Fabian Schär... - 1"
R16,England,"Wayne Rooney, Daniel Sturridge... - 1"
R16,Hungary,Balázs Dzsudzsák - 2
R16,Ireland,Robbie Brady - 2
R16,Slovakia,"Vladimír Weiss, Marek Hamšík... - 1"
R16,Ireland,"Gareth McAuley, Niall McGinn - 1"
GR,Türkiye,"Ozan Tufan, Burak Yılmaz - 1"
GR,Albania,Armando Sadiku - 1
GR,Romania,Bogdan Stancu - 2
GR,Sweden,
GR,Czechia,"Tomáš Necid, Milan Škoda - 1"
GR,Austria,Alessandro Schöpf - 1
GR,Russia,"Aleksei Berezutski, Denis Glushakov - 1"
GR,Ukraine,
