Rk,Nation,Top Team Scorer
W,Spain,Fernando Torres - 3
F,Italy,Mario Balotelli - 3
SF,Germany,Mario Gómez - 3
SF,Portugal,Cristiano Ronaldo - 3
QF,England,"Wayne Rooney, Theo Walcott... - 1"
QF,Czechia,"Petr Jiráček, Václav Pilař - 2"
QF,Greece,Dimitris Salpingidis - 2
QF,France,"Samir Nasri, Yohan Cabaye... - 1"
GR,Russia,Alan Dzagoev - 3
GR,Croatia,Mario Mandžukić - 3
GR,Sweden,Zlatan Ibrahimović - 2
GR,Denmark,"Nicklas Bendtner, Michael Krohn-Dehli - 2"
GR,Ukraine,Andriy Shevchenko - 2
GR,Poland,"Robert Lewandowski, Jakub Błaszczykowski - 1"
GR,Netherlands,"Rafael van der Vaart, Robin van Persie - 1"
GR,Ireland,Sean St Ledger - 1
