Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Quarter-finals,Thu,2012-06-21,20:45,Czechia cz,0–1,pt Portugal,55590.0,Stadion Narodowy,Howard Webb,Match Report,
Quarter-finals,Fri,2012-06-22,20:45,Germany de,4–2,gr Greece,38751.0,Stadion Energa Gdańsk,Damir Skomina,Match Report,
Quarter-finals,Sat,2012-06-23,21:45,Spain es,2–0,fr France,47000.0,Donbass Arena,Nicola Rizzoli,Match Report,
Quarter-finals,Sun,2012-06-24,21:45,England eng,(2) 0–0 (4),it Italy,64340.0,NSK Olimpijs'kyj,Pedro Proença,Match Report,Italy won on penalty kicks following extra time
Semi-finals,Wed,2012-06-27,21:45,Portugal pt,(2) 0–0 (4),es Spain,48000.0,Donbass Arena,Cüneyt Çakιr,Match Report,Spain won on penalty kicks following extra time
Semi-finals,Thu,2012-06-28,20:45,Germany de,1–2,it Italy,55540.0,Stadion Narodowy,Stéphane Lannoy,Match Report,
Final,Sun,2012-07-01,21:45,Spain es,4–0,it Italy,63170.0,NSK Olimpijs'kyj,Pedro Proença,Match Report,
