Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Quarter-finals,Sat,2000-06-24,18:00,Türkiye tr,0–2,pt Portugal,42000.0,Johan Cruyff ArenA,Dick Jol,Match Report,
Quarter-finals,Sat,2000-06-24,20:45,Italy it,2–0,ro Romania,41000.0,Stade Roi Baudouin,Vítor Melo,Match Report,
Quarter-finals,Sun,2000-06-25,18:00,Netherlands nl,6–1,rs Yugoslavia,44000.0,Stadion Feijenoord,José García Aranda,Match Report,
Quarter-finals,Sun,2000-06-25,20:45,Spain es,1–2,fr France,26614.0,Jan Breydelstadion,Pierluigi Collina,Match Report,
Semi-finals,Wed,2000-06-28,20:45,France fr,2–1,pt Portugal,48000.0,Stade Roi Baudouin,Günter Benkö,Match Report,Required Extra Time
Semi-finals,Thu,2000-06-29,18:00,Italy it,(3) 0–0 (1),nl Netherlands,50000.0,Johan Cruyff ArenA,Markus Merk,Match Report,Italy won on penalty kicks following extra time
Final,Sun,2000-07-02,20:00,France fr,2–1,it Italy,50000.0,Stadion Feijenoord,Anders Frisk,Match Report,Required Extra Time
