Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Quarter-finals,Thu,2004-06-24,19:45,Portugal pt,(6) 2–2 (5),eng England,62564.0,Estádio do Sport Lisboa e Benfica,Urs Meier,Match Report,Portugal won on penalty kicks following extra time
Quarter-finals,Fri,2004-06-25,19:45,France fr,0–1,gr Greece,45390.0,Estádio José Alvalade,Anders Frisk,Match Report,
Quarter-finals,Sat,2004-06-26,19:45,Sweden se,(4) 0–0 (5),nl Netherlands,27762.0,Estádio Do Algarve,Ľuboš Micheľ,Match Report,Netherlands won on penalty kicks following extra time
Quarter-finals,Sun,2004-06-27,19:45,Czechia cz,3–0,dk Denmark,41092.0,Estádio Do Dragão,Valentin Ivanov,Match Report,
Semi-finals,Wed,2004-06-30,19:45,Portugal pt,2–1,nl Netherlands,46679.0,Estádio José Alvalade,Anders Frisk,Match Report,
Semi-finals,Thu,2004-07-01,19:45,Greece gr,1–0,cz Czechia,42449.0,Estádio Do Dragão,Pierluigi Collina,Match Report,Required Extra Time
Final,Sun,2004-07-04,19:45,Portugal pt,0–1,gr Greece,62865.0,Estádio do Sport Lisboa e Benfica,Markus Merk,Match Report,
